elapsed_s,channel_id,segment_id,duration_s,hit_cap,chars,full_latency_ms,stt_latency_ms,pre_stt_latency_ms,q_ingest,q_routed,q_segment
15.814666493010009,rx,rx-1789092432.766-1,10.080286741256714,False,70,3363.1489276885986,3333.9203269861173,29.228600702481344,0,0,0
24.320356568001444,rx,rx-1789092443.102-2,8.863879680633545,False,60,2749.079465866089,2719.809341011569,29.270124854519963,0,0,0
24.63504806999117,rx,rx-1789092451.997-3,1.216170072555542,False,6,1816.0855770111084,314.7591679880861,1501.3264090230223,0,0,0
34.67760288499994,rx,rx-1789092453.502-4,8.831860542297363,False,60,2738.645076751709,2717.3560929950327,21.288983756676316,0,0,0
35.10723121400224,rx,rx-1789092462.365-5,1.216179370880127,False,9,1920.2525615692139,429.4217750139069,1490.830786555307,0,0,0
46.07986446999712,rx,rx-1789092463.870-6,9.848865032196045,False,60,2755.8324337005615,2734.4897680159193,21.34266568464227,0,0,0
46.39824704598868,rx,rx-1789092473.751-7,1.2162837982177734,False,6,1826.1005878448486,318.1956140033435,1507.9049738415051,0,0,0
56.47963950000121,rx,rx-1789092475.255-8,8.831791162490845,False,60,2787.4481678009033,2773.5668729874305,13.881294813472778,0,0,0
56.80551142900367,rx,rx-1789092484.119-9,1.2162754535675049,False,6,1856.2698364257812,316.8912859982811,1539.3785504275002,0,0,0
66.88279397398583,rx,rx-1789092485.623-10,8.867622375488281,False,60,2786.940097808838,2753.448119008681,33.491978800157085,0,0,0
67.20139799400931,rx,rx-1789092494.522-11,1.183946132659912,False,6,1889.7192478179932,318.4402050101198,1571.2790428078733,0,0,0
78.02629329598858,rx,rx-1789092496.030-12,9.808649063110352,False,56,2581.7606449127197,2555.9133409988135,25.847303913906217,0,0,0
78.48369428599835,rx,rx-1789092505.871-13,1.2161624431610107,False,10,1791.1546230316162,457.1971950063016,1333.9574280253146,0,0,0
88.57524481299333,rx,rx-1789092507.378-14,8.82861042022705,False,60,2758.981943130493,2741.642156994203,17.33978613629006,0,0,0
88.8911466790014,rx,rx-1789092516.239-15,1.216165542602539,False,6,1830.6615352630615,319.6444770146627,1511.0170582483988,0,0,0
98.9756056460028,rx,rx-1789092517.743-16,8.863775253295898,False,60,2763.1378173828125,2745.7668950082734,17.370922374539077,0,0,0
99.28732660599053,rx,rx-1789092526.639-17,1.2162513732910156,False,6,1826.796054840088,311.5452939819079,1515.25076085818,0,0,0
