elapsed_s,channel_id,segment_id,duration_s,hit_cap,chars,full_latency_ms,stt_latency_ms,pre_stt_latency_ms,q_ingest,q_routed,q_segment
2.8946512900001835,rx,rx-1789091079.991-1,0.2559523582458496,False,1,142.27724075317383,117.17303999466822,25.104200758505613,0,0,0
6.07825239902013,rx,rx-1789091080.376-2,2.2076101303100586,False,19,987.5264167785645,958.4128109854646,29.11360579309985,0,1,0
12.200701095018303,rx,rx-1789091082.615-3,4.864019870758057,False,41,2216.7859077453613,2203.5503019869793,13.235605758382007,0,0,0
15.087897723016795,rx,rx-1789091088.695-4,2.591912031173706,False,26,1295.9294319152832,1270.345521013951,25.583910901332274,0,0,0
21.059292521997122,rx,rx-1789091091.319-5,4.863957405090332,False,44,2371.3786602020264,2342.2441220027395,29.134538199286908,0,0,0
23.700850265013287,rx,rx-1789091097.431-6,2.559725284576416,False,26,1204.8914432525635,1183.8026109908242,21.0888322617393,0,0,0
29.642524373019114,rx,rx-1789091100.023-7,4.896191596984863,False,41,2218.411445617676,2204.963616008172,13.44782960950397,0,0,0
33.48442952701589,rx,rx-1789091106.135-8,3.6260578632354736,False,26,1218.3470726013184,1193.320599006256,25.02647359506227,0,0,0
38.179672788013704,rx,rx-1789091109.793-9,4.8640296459198,False,17,1017.5511837005615,987.385070999153,30.166112701408565,0,0,0
42.20793110600789,rx,rx-1789091115.905-10,2.5919623374938965,False,26,1205.8825492858887,1176.7777289787773,29.104820307111368,0,0,0
48.078503404016374,rx,rx-1789091118.529-11,4.863985300064087,False,41,2180.41729927063,2167.265412019333,13.151887251297012,0,0,0
50.91232482501073,rx,rx-1789091124.610-12,2.5918338298797607,False,26,1206.2580585479736,1181.1646139831282,25.093444564845413,0,0,0
55.47107215199503,rx,rx-1789091127.233-13,4.8640899658203125,False,14,868.9322471618652,839.8682459956035,29.064001166261733,0,0,0
60.639445770997554,rx,rx-1789091134.380-14,2.55965518951416,False,26,1194.9129104614258,1173.8625700236298,21.050340437795967,0,0,0
66.52310697399662,rx,rx-1789091136.972-15,4.896277189254761,False,41,2150.2890586853027,2136.7993209860288,13.489737699273974,0,0,0
69.37565325401374,rx,rx-1789091143.084-16,2.5916991233825684,False,26,1195.026159286499,1170.1355290133506,24.890630273148417,0,0,0
75.43360922602005,rx,rx-1789091145.708-17,4.864087104797363,False,44,2356.85658454895,2327.886890998343,28.96969355060719,0,0,0
78.06280346499989,rx,rx-1789091151.820-18,2.5596561431884766,False,26,1178.1127452850342,1157.1767360146623,20.93600927037187,0,0,0
84.00007745801122,rx,rx-1789091154.412-19,4.895806789398193,False,41,2187.528133392334,2173.8733380043413,13.654795387992635,0,0,0
87.84590462199412,rx,rx-1789091160.524-20,3.6255011558532715,False,26,1191.676378250122,1166.6296689945739,25.046709255548194,0,0,0
92.56007499500993,rx,rx-1789091164.182-21,4.864059686660767,False,17,1009.793758392334,980.819402000634,28.974356391699985,0,0,0
96.5416933390079,rx,rx-1789091170.294-22,2.5599546432495117,False,26,1183.5002899169922,1162.4814269889612,21.018862928031012,0,0,0
102.43065302900504,rx,rx-1789091172.886-23,4.8962249755859375,False,41,2144.2131996154785,2130.7338280021213,13.479371613357216,0,0,0
105.28380105501856,rx,rx-1789091178.998-24,2.5915918350219727,False,26,1189.5966529846191,1164.5221549842972,25.07449800032191,0,0,0
109.86076018601307,rx,rx-1789091181.622-25,4.864103555679321,False,14,870.3477382659912,841.2946150056086,29.053123260382563,0,0,0
115.08039557200391,rx,rx-1789091188.767-26,2.5601162910461426,False,26,1248.563289642334,1227.2513530042488,21.31193663808517,0,0,0
120.90397595101967,rx,rx-1789091191.359-27,4.895952463150024,False,41,2144.174337387085,2131.0691489779856,13.105188409099355,0,0,0
123.76921140399645,rx,rx-1789091197.471-28,2.591609001159668,False,26,1201.554775238037,1176.5546289971098,25.00014624092728,0,0,0
129.84727691099397,rx,rx-1789091200.095-29,4.86405348777771,False,44,2383.5246562957764,2354.424321994884,29.100334300892428,0,0,0
132.45943050601636,rx,rx-1789091206.207-30,2.559863805770874,False,26,1187.7257823944092,1166.6866169834975,21.039165410911664,0,0,0
138.3638946209976,rx,rx-1789091208.799-31,4.896007537841797,False,41,2164.1290187835693,2150.990191992605,13.138826790964231,0,0,0
142.23773572500795,rx,rx-1789091214.911-32,3.6258552074432373,False,26,1196.0184574127197,1171.208686020691,24.80977139202878,0,0,0
146.96904348401586,rx,rx-1789091218.569-33,4.863784551620483,False,17,1031.489372253418,1001.9758790149353,29.513493238482624,0,0,0
150.91649917300674,rx,rx-1789091224.681-34,2.559917688369751,False,26,1171.0431575775146,1150.0994869857095,20.94367059180513,0,0,0
156.80059778300347,rx,rx-1789091227.273-35,4.896066188812256,False,41,2127.07781791687,2114.0389880165458,13.038829900324345,0,0,0
159.69343774500885,rx,rx-1789091233.385-36,2.5918948650360107,False,26,1211.8964195251465,1186.753921007039,25.14249851810746,0,0,0
164.2535579460091,rx,rx-1789091236.009-37,4.864020347595215,False,14,875.9961128234863,846.8635389872361,29.13257383625023,0,0,0
169.4372833929956,rx,rx-1789091243.154-38,2.560098648071289,False,26,1218.5251712799072,1197.21103500342,21.31413627648726,0,0,0
175.25241173099494,rx,rx-1789091245.746-39,4.89571738243103,False,41,2105.9226989746094,2092.8399869881105,13.082711986498907,0,0,0
178.152697033016,rx,rx-1789091251.858-40,2.5915892124176025,False,26,1198.1785297393799,1173.1710360036232,25.007493735756725,0,0,0
184.23691940901335,rx,rx-1789091254.482-41,4.864182710647583,False,44,2386.0421180725098,2356.6080760210752,29.434042051434517,0,0,0
186.8593361050007,rx,rx-1789091260.594-42,2.559738874435425,False,26,1200.6099224090576,1179.6253920183517,20.984530390705913,0,0,0
192.7416553570074,rx,rx-1789091263.186-43,4.895897626876831,False,41,2155.0753116607666,2141.868742997758,13.206568663008511,0,0,0
