window_start_s,n,pre_stt_mean_ms,full_latency_mean_ms
0,3,22.8,4504.0
30,4,17.1,4596.5
60,5,27.4,4621.0
90,4,23.1,4673.9
120,5,20.4,4523.3
150,4,19.1,4661.6
180,4,24.5,4584.3
210,5,21.5,4530.2
240,4,21.1,4503.5
270,5,21.4,4543.8
300,2,-1.8,4523.0
