window_start_s,n,pre_stt_mean_ms,full_latency_mean_ms
0,3,22.6,3611.1
30,5,17.3,3554.6
60,5,18.4,4176.3
90,4,19.2,4769.6
120,5,12.7,4236.1
150,5,47.1,4583.0
180,4,27.1,4632.4
210,5,34.7,5026.1
240,4,66.9,4238.7
270,6,32.1,3929.2
300,4,22.1,4253.1
