window_start_s,n,pre_stt_mean_ms,full_latency_mean_ms
0,3,182.3,5203.9
30,4,20.2,4491.8
60,4,137.5,5446.5
90,4,19.3,4511.3
120,4,131.2,5433.4
150,4,19.8,4474.2
180,4,114.6,5361.4
210,4,19.5,4493.9
240,4,124.5,5398.3
270,4,19.3,4462.3
300,4,124.0,5374.2
330,1,13.2,5079.5
