window_start_s,n,pre_stt_mean_ms,full_latency_mean_ms
0,4,20.2,3242.0
30,6,20.5,3549.8
60,5,27.2,3669.1
90,6,22.4,3757.5
120,6,21.3,3552.2
150,5,18.2,3777.0
180,6,27.7,3745.2
210,5,18.8,3762.6
240,6,22.7,3739.9
270,6,22.6,3864.6
300,5,21.6,3083.7
