window_start_s,n,pre_stt_mean_ms,full_latency_mean_ms
0,3,20.1,4130.5
30,5,19.6,4095.5
60,5,19.5,4106.9
90,5,19.5,4093.3
120,5,19.5,4112.9
150,5,19.5,4105.9
180,4,20.0,4131.8
210,5,19.4,4108.0
240,5,24.6,4102.0
270,5,19.5,4110.2
300,3,18.4,4013.3
