window_start_s,n,pre_stt_mean_ms,full_latency_mean_ms
0,2,23.5,4087.2
30,4,20.3,3372.7
60,3,28.0,4647.2
90,4,20.3,5540.2
120,3,32.0,6022.1
150,3,25.2,6478.1
180,4,8.9,5362.1
210,3,23.7,4928.7
240,4,19.3,5700.5
270,4,22.3,4866.0
300,2,15.3,4030.0
