window_start_s,n,pre_stt_mean_ms,full_latency_mean_ms
0,5,492.2,3399.5
30,5,19.7,3969.3
60,5,21.8,4221.7
90,5,21.2,4026.8
120,5,19.6,4144.8
150,5,18.8,4094.0
180,6,26.8,3959.8
210,5,21.3,4072.2
240,5,11.9,4047.5
270,5,22.1,4016.5
300,5,29.3,4153.4
