window_start_s,n,pre_stt_mean_ms,full_latency_mean_ms
0,3,21.3,3840.6
30,4,26.3,4458.6
60,5,21.1,4701.2
90,4,27.2,4358.7
120,4,24.3,4764.7
150,5,26.0,4437.7
180,4,25.3,4684.4
210,4,26.1,4444.2
240,5,25.6,4612.3
270,4,24.1,4558.1
300,2,19.3,4682.4
