window_start_s,n,pre_stt_mean_ms,full_latency_mean_ms
0,3,20.1,4754.3
30,4,22.2,4883.9
60,4,22.5,4910.9
90,4,22.1,4885.8
120,4,21.0,4919.8
150,4,22.2,4898.6
180,4,21.5,4941.6
210,4,23.7,4906.9
240,4,21.1,4953.1
270,4,22.1,4900.1
300,4,21.2,4897.4
330,1,25.0,4734.6
