window_start_s,n,pre_stt_mean_ms,full_latency_mean_ms
0,2,21.6,4299.6
30,3,24.1,3701.2
60,3,18.7,5013.8
90,4,22.4,6120.7
120,3,18.6,3987.9
150,3,20.2,4011.4
180,3,21.3,2786.4
210,4,17.3,3609.9
240,3,19.5,4700.5
270,3,22.7,5029.6
300,2,11.6,4418.2
