window_start_s,n,pre_stt_mean_ms,full_latency_mean_ms
0,3,17.3,2731.4
30,3,37.4,3368.4
60,4,18.6,4250.2
90,4,18.6,3638.2
120,4,18.6,2678.5
150,3,26.8,3388.4
180,4,20.6,3156.2
210,4,22.3,3690.3
240,3,24.4,2659.5
270,4,17.7,2720.4
300,4,22.5,4164.8
