elapsed_s,channel_id,segment_id,duration_s,hit_cap,chars,full_latency_ms,stt_latency_ms,pre_stt_latency_ms,q_ingest,q_routed,q_segment
3.3655957379960455,rx,rx-1789110513.434-1,0.25592994689941406,False,1,173.32935333251953,148.05558501393534,25.27376831858419,0,0,0
6.519336890021805,rx,rx-1789110513.819-2,2.2075910568237305,False,19,1006.65283203125,977.6356240035966,29.017208027653396,0,0,0
24.579810237017227,rx,rx-1789110516.058-3,14.43224310874939,False,78,4602.581977844238,4576.823160983622,25.758816860616207,0,0,1
24.711236655013636,rx,rx-1789110530.586-4,1.4591588973999023,False,2,3179.1768074035645,131.29962200764567,3047.877185395919,0,0,0
25.697988744999748,rx,rx-1789110532.078-5,2.144029140472412,False,21,1989.7687435150146,986.519110010704,1003.2496335043106,0,0,0
45.26824001100613,rx,rx-1789110534.254-6,14.431910514831543,False,122,7095.864057540894,7082.0019870006945,13.862070540199056,0,0,0
46.463898497022456,rx,rx-1789110548.814-7,3.594691276550293,False,26,4568.979263305664,1195.5496539885644,3373.4296093170997,0,0,0
60.85889320500428,rx,rx-1789110552.440-8,14.431780099868774,False,79,4499.835014343262,4478.399879997596,21.435134345665574,0,0,1
60.992694947024575,rx,rx-1789110567.000-9,1.4183838367462158,False,2,3087.428331375122,133.50526199792512,2953.923069377197,0,0,0
62.00486445601564,rx,rx-1789110568.451-10,2.1439707279205322,False,21,1923.8793849945068,1012.1155650122091,911.7638199822977,0,0,0
79.05063545602025,rx,rx-1789110570.650-11,14.431809663772583,False,79,4474.04146194458,4468.0798560148105,5.961605929769576,0,0,0
80.19165285400231,rx,rx-1789110586.174-12,2.5921897888183594,False,26,1939.0654563903809,1148.8761630025692,790.1892933878116,0,0,0
97.18912064100732,rx,rx-1789110588.798-13,14.431782007217407,False,78,4472.290277481079,4446.764579974115,25.525697506964207,0,0,0
98.34577803799766,rx,rx-1789110603.326-14,3.6266283988952637,False,26,1906.6736698150635,1156.6404339973815,750.033235817682,0,0,0
117.95917395100696,rx,rx-1789110606.985-15,14.431736946105957,False,122,7056.219100952148,7042.70063698641,13.518463965738192,0,0,0
119.11829728400335,rx,rx-1789110621.550-16,3.5890085697174072,False,26,4492.836952209473,1158.9329080015887,3333.904044207884,0,0,0
133.60723449199577,rx,rx-1789110625.171-17,14.454960584640503,False,79,4494.7521686553955,4493.175276002148,1.5768926532473415,0,0,2
133.73727086102008,rx,rx-1789110639.754-18,1.3963651657104492,False,2,3100.5072593688965,129.48114998289384,2971.0261093860026,0,0,1
134.7206391869986,rx,rx-1789110641.182-19,2.1438441276550293,False,21,1908.0028533935547,982.7625890029594,925.2402643905953,0,0,0
151.86022173101082,rx,rx-1789110643.358-20,14.431878805160522,False,79,4583.236455917358,4553.1447979738,30.091657943557948,0,0,0
153.0305769420229,rx,rx-1789110658.902-21,2.5921294689178467,False,26,2049.5996475219727,1170.212636992801,879.3870105291717,0,0,0
169.98935323901242,rx,rx-1789110661.526-22,14.431855916976929,False,78,4544.271945953369,4518.765501008602,25.50644494476728,0,0,0
171.1649115110049,rx,rx-1789110676.054-23,3.5765483379364014,False,26,2047.375202178955,1175.3645330027211,872.0106691762339,0,0,0
