timestamp,experiment,iteration,audio_duration_s,arrival_time_s,asr_start_time_s,asr_finish_time_s,queue_wait_ms,service_time_ms,e2e_latency_ms,rtf,queue_depth_at_arrival,queue_depth_at_start,cpu_percent,cpu_freq_mhz,cpu_temp_c,rss_mb,success,error
2026-09-11T16:54:52.070,exp2_0.75x,1,17.302,0.0002307760005351156,0.0003359969996381551,7.208664789999602,0.1052209991030395,7208.328792999964,7208.434013999067,0.4166182402612394,1,0,100.29320424185565,2800.0,49.05,326.8125,True,
2026-09-11T16:55:15.160,exp2_0.75x,2,17.302,23.06940052099526,23.069439890998183,30.29820974098402,0.03937000292353332,7228.769849985838,7228.8092199887615,0.41779966766765914,1,0,31.442792716531002,2800.0,48.5,328.828125,True,
2026-09-11T16:55:38.332,exp2_0.75x,3,17.302,46.139089848991716,46.13914260797901,53.47061588297947,0.05275898729451001,7331.473275000462,7331.526033987757,0.4237355955959116,1,0,31.589308968392714,2800.0,49.6,328.84375,True,
2026-09-11T16:56:01.223,exp2_0.75x,4,17.302,69.20807126199361,69.20812161298818,76.36144426499959,0.050350994570180774,7153.322652011411,7153.373003005981,0.4134390620744082,1,0,31.278883061510424,2800.0,49.05,330.890625,True,
2026-09-11T16:56:24.284,exp2_0.75x,5,17.302,92.27739186098916,92.27741267599049,99.42220733698923,0.02081500133499503,7144.794660998741,7144.815476000076,0.4129461715985864,1,0,31.091762477868205,2800.0,48.5,330.890625,True,
2026-09-11T16:56:47.410,exp2_0.75x,6,17.302,115.3467243379855,115.34674396799528,122.54805253699305,0.019630009774118662,7201.308568997774,7201.328199007548,0.416212493873412,1,0,31.177247987739364,2800.0,47.4,332.03125,True,
2026-09-11T16:57:10.527,exp2_0.75x,7,17.302,138.41606649500318,138.41610549498,145.6657001429994,0.03899997682310641,7249.594648019411,7249.633647996234,0.4190032740734835,1,0,31.404591736111986,2800.0,49.05,333.046875,True,
2026-09-11T16:57:33.591,exp2_0.75x,8,17.302,161.48539880500175,161.48548497099546,168.728749781003,0.08616599370725453,7243.264810007531,7243.350976001238,0.4186374297773397,1,0,31.522281442909932,2800.0,47.95,334.15625,True,
2026-09-11T16:57:40.783,exp2_1.00x,1,17.302,9.757399675436318e-05,0.00015781400725245476,7.189979992021108,0.06024001049809158,7189.822178013856,7189.882418024354,0.4155486173860742,1,0,100.13652810317281,2800.0,48.5,334.25,True,
2026-09-11T16:57:58.067,exp2_1.00x,2,17.302,17.30205988101079,17.302085510018514,24.47382454702165,0.02562900772318244,7171.739037003135,7171.7646660108585,0.41450346994585224,1,0,41.54166421674748,2800.0,47.95,334.8125,True,
2026-09-11T16:58:15.356,exp2_1.00x,3,17.302,34.60406002801028,34.60408302801079,41.762926245020935,0.02300000051036477,7158.843217010144,7158.8662170106545,0.41375813299099207,1,0,41.47120052561594,2800.0,49.6,334.8125,True,
2026-09-11T16:58:32.675,exp2_1.00x,4,17.302,51.90605935401982,51.90608194700326,59.08136626202031,0.02259298344142735,7175.284315017052,7175.306908000493,0.414708375622301,1,0,41.516433847451864,2800.0,49.05,334.8125,True,
2026-09-11T16:58:49.982,exp2_1.00x,5,17.302,69.20805794201442,69.20807699800935,76.38863917801064,0.019055994926020503,7180.562180001289,7180.581235996215,0.41501341925796376,1,0,41.60103293606058,2800.0,47.4,334.8125,True,
2026-09-11T16:59:07.262,exp2_1.00x,6,17.302,86.51005944801727,86.51008120700135,93.66840486999718,0.02175898407585919,7158.323662995826,7158.345421979902,0.413728104438552,1,0,41.49363148384011,2800.0,47.4,334.8125,True,
2026-09-11T16:59:24.568,exp2_1.00x,7,17.302,103.81206949299667,103.81210090001696,110.97489433700684,0.03140702028758824,7162.793436989887,7162.824844010174,0.413986443011784,1,0,41.48729254854955,2800.0,49.05,334.8125,True,
2026-09-11T16:59:41.919,exp2_1.00x,8,17.302,121.11406616101158,121.11410160502419,128.32551525702002,0.03544401261024177,7211.4136519958265,7211.449096008437,0.41679653519800175,1,0,41.669996697823315,2800.0,49.05,334.828125,True,
2026-09-11T16:59:59.199,exp2_1.00x,9,17.302,138.4160604630015,138.41608209299739,145.60541111900238,0.021629995899274945,7189.329026004998,7189.350656000897,0.41552011478470685,1,0,41.60904785524375,2800.0,49.05,334.828125,True,
2026-09-11T17:00:16.515,exp2_1.00x,10,17.302,155.71806282101898,155.7181282649981,162.92187504502363,0.06544397911056876,7203.74678002554,7203.8122240046505,0.4163534146356225,1,0,41.75210044646563,2800.0,47.95,335.140625,True,
2026-09-11T17:00:33.761,exp2_1.00x,11,17.302,173.02007100501214,173.02015818899963,180.16785539200646,0.08718398748897016,7147.697203006828,7147.784386994317,0.4131139291993312,1,0,41.51692551492367,2800.0,49.6,335.28125,True,
2026-09-11T17:00:40.974,exp2_1.25x,1,17.302,0.00010218497482128441,0.00015748097212053835,7.209887841978343,0.05529599729925394,7209.730361006223,7209.785657003522,0.4166992463880605,1,0,99.9987929968899,2800.0,49.6,335.296875,True,
2026-09-11T17:00:54.904,exp2_1.25x,2,17.302,13.841686824976932,13.841712009976618,21.1394370799826,0.02518499968573451,7297.725070005981,7297.750255005667,0.4217850577971322,1,0,52.47836204993632,2800.0,51.25,335.296875,True,
2026-09-11T17:01:08.656,exp2_1.25x,3,17.302,27.683258620993,27.683278731972678,34.89199104599538,0.020110979676246643,7208.712314022705,7208.732425002381,0.4166404065439085,1,0,52.3539243984599,2800.0,50.7,335.296875,True,
2026-09-11T17:01:22.500,exp2_1.25x,4,17.302,41.52486000399222,41.52488548497786,48.735754769993946,0.025480985641479492,7210.869285016088,7210.894766001729,0.4167650725358969,1,0,52.22568130197893,2800.0,51.25,335.296875,True,
2026-09-11T17:01:36.380,exp2_1.25x,5,17.302,55.36646109397407,55.3664810199989,62.61595774197485,0.0199260248336941,7249.476721975952,7249.496648000786,0.41899645832712706,1,0,52.3048513168271,2800.0,50.15,335.296875,True,
2026-09-11T17:01:50.155,exp2_1.25x,6,17.302,69.20806521398481,69.20810728799552,76.39060273897485,0.04207401070743799,7182.4954509793315,7182.537524990039,0.4151251561079258,1,0,52.197164964251165,2800.0,50.15,335.296875,True,
2026-09-11T17:02:04.044,exp2_1.25x,7,17.302,83.04967216899968,83.04973026097286,90.27935458597494,0.05809197318740189,7229.624325002078,7229.682416975265,0.4178490535777412,1,0,52.05654008535868,2800.0,50.7,335.296875,True,
2026-09-11T17:02:17.892,exp2_1.25x,8,17.302,96.89126626297366,96.89129978098208,104.1281439869781,0.033518008422106504,7236.844205996022,7236.877724004444,0.41826633949809394,1,0,52.35114434107807,2800.0,50.7,335.296875,True,
2026-09-11T17:02:31.700,exp2_1.25x,9,17.302,110.73286167197512,110.73288394897827,117.9360905449721,0.022277003154158592,7203.206595993834,7203.228872996988,0.41632219373447193,1,0,52.28870902926977,2800.0,51.25,335.296875,True,
2026-09-11T17:02:45.588,exp2_1.25x,10,17.302,124.57446599699324,124.57450019998942,131.8238503879984,0.03420299617573619,7249.350188008975,7249.384391005151,0.4189891450704529,1,0,52.34829789368967,2800.0,50.7,335.296875,True,
2026-09-11T17:02:59.380,exp2_1.25x,11,17.302,138.41606754399254,138.41611128498334,145.61564776598243,0.04374099080450833,7199.536480999086,7199.580221989891,0.41611007288169494,1,0,52.277431416635146,2800.0,49.6,335.5625,True,
2026-09-11T17:03:13.262,exp2_1.25x,12,17.302,152.25766063897754,152.2576822679839,159.49738168600015,0.021629006369039416,7239.699418016244,7239.721047022613,0.41843136157763516,1,0,52.22693157057601,2800.0,51.25,335.5625,True,
2026-09-11T17:03:27.050,exp2_1.25x,13,17.302,166.09926451198407,166.0992969739891,173.28585469399695,0.03246200503781438,7186.5577200078405,7186.590182012878,0.4153599422036667,1,0,52.29012443097705,2800.0,51.8,335.5625,True,
