elapsed_s,channel_id,segment_id,duration_s,hit_cap,chars,full_latency_ms,stt_latency_ms,pre_stt_latency_ms,q_ingest,q_routed,q_segment
9.88429872697452,rx,rx-1789098062.892-1,4.767752647399902,False,71,2748.2964992523193,2734.891408996191,13.40509025612846,0,0,0
15.520436747989152,rx,rx-1789098067.692-2,4.799909591674805,False,79,3552.5527000427246,3531.433994998224,21.11870504450053,0,0,0
20.541934493987355,rx,rx-1789098072.524-3,4.799968957901001,False,88,3742.2075271606445,3713.094252976589,29.113274184055626,0,0,0
24.83417187599116,rx,rx-1789098077.356-4,4.800034761428833,False,71,3202.3181915283203,3185.253109986661,17.06508154165931,0,0,0
29.790161731973058,rx,rx-1789098082.188-5,4.800041675567627,False,78,3326.1735439300537,3301.1050040076952,25.068539922358468,0,0,0
34.395082764996914,rx,rx-1789098087.020-6,4.799953460693359,False,75,3099.273204803467,3086.1111840058584,13.16202079760842,0,0,0
40.44896954097203,rx,rx-1789098091.853-7,5.837780475616455,False,78,3282.719373703003,3261.6671370051336,21.052236697869375,0,0,0
46.32015892799245,rx,rx-1789098097.723-8,4.8000946044921875,False,88,4321.781396865845,4292.853535007453,28.927861858392134,0,0,0
49.869177692977246,rx,rx-1789098102.555-9,4.799997806549072,False,75,3038.8503074645996,3021.8274560174905,17.022851447109133,0,0,0
54.411906408990035,rx,rx-1789098107.387-10,4.800230264663696,False,71,2749.3515014648438,2724.5506859908346,24.80081547400914,0,0,0
59.63195293597528,rx,rx-1789098112.219-11,4.799698829650879,False,76,3137.7222537994385,3124.1300070250873,13.592246774351224,0,0,0
64.35005226999056,rx,rx-1789098117.054-12,4.80010724067688,False,74,3020.2503204345703,2999.0153950056992,21.234925428871065,0,0,0
125.92576331298915,rx,rx-1789098157.758-14,4.800427198410034,False,78,23890.750408172607,3016.7416220065206,20874.008786166087,0,0,3
129.44942611499573,rx,rx-1789098162.590-15,4.799944162368774,False,83,22583.01591873169,3523.228656995343,19059.787261736346,0,0,3
