elapsed_s,channel_id,segment_id,duration_s,hit_cap,chars,full_latency_ms,stt_latency_ms,pre_stt_latency_ms,q_ingest,q_routed,q_segment
15.528776979015674,rx,rx-1789099326.680-1,9.471848011016846,False,82,3675.72283744812,3646.0250040108804,29.69783343723975,0,0,0
26.539045675017405,rx,rx-1789099337.656-2,9.535522937774658,False,82,3646.313428878784,3617.003523017047,29.309905861737207,0,0,0
37.69379124001716,rx,rx-1789099348.728-3,9.503879070281982,False,82,3760.5857849121094,3731.4457799948286,29.14000491728075,0,0,0
49.71082689499599,rx,rx-1789099359.768-4,10.570674180984497,False,82,3671.159505844116,3653.953148983419,17.20635686069727,0,0,0
60.84352784699877,rx,rx-1789099371.843-5,9.535697937011719,False,83,3764.087200164795,3746.2640760059003,17.823124158894643,0,0,0
71.76168753299862,rx,rx-1789099382.883-6,9.539082288742065,False,82,3638.6218070983887,3620.0759780185763,18.545829079812393,0,0,0
83.89264872501371,rx,rx-1789099393.930-7,10.563098430633545,False,83,3698.4410285949707,3680.8357079862617,17.605320608709008,0,0,0
94.91548785401392,rx,rx-1789099406.029-8,9.504060506820679,False,82,3681.328296661377,3663.704954989953,17.623341671423987,0,0,0
106.01201676600613,rx,rx-1789099417.069-9,9.535850286483765,False,83,3706.028699874878,3680.84102802095,25.187671853927895,0,0,0
118.12999537499854,rx,rx-1789099428.109-10,10.57000994682312,False,82,3749.775171279907,3722.5224639987573,27.252707281149924,0,0,0
129.12095579699962,rx,rx-1789099440.184-11,9.558217287063599,False,82,3678.086996078491,3675.4166790051386,2.670317073352635,0,0,0
140.15665290501784,rx,rx-1789099451.250-12,9.531952142715454,False,82,3673.799514770508,3671.0700470139273,2.7294677565805614,0,0,0
152.16008982699714,rx,rx-1789099462.322-13,10.466793060302734,False,82,3670.4044342041016,3643.386832001852,27.01760220224969,0,0,0
163.23508529699757,rx,rx-1789099474.325-14,9.535444498062134,False,82,3673.250198364258,3659.9164179933723,13.333780370885506,0,0,0
174.20237826099037,rx,rx-1789099485.365-15,9.535931825637817,False,83,3600.458860397339,3582.9930040054023,17.46585639193654,0,0,0
186.37318047200097,rx,rx-1789099496.405-16,10.5200834274292,False,82,3747.0147609710693,3731.421425996814,15.593334974255413,0,0,0
197.29405611401307,rx,rx-1789099508.461-17,9.503947973251343,False,82,3627.9375553131104,3614.7214990050998,13.216056308010593,0,0,0
208.4602733119973,rx,rx-1789099519.501-18,9.504060506820679,False,83,3754.100561141968,3740.353850997053,13.746710144914687,0,0,0
220.59892864499125,rx,rx-1789099530.541-19,10.60218358039856,False,83,3754.453659057617,3724.3890590034425,30.06460005417466,0,0,0
231.5325914020068,rx,rx-1789099542.616-20,9.535495519638062,False,83,3679.898738861084,3658.1559990008827,21.742739860201254,0,0,0
242.64712405600585,rx,rx-1789099553.656-21,9.536174058914185,False,81,3753.840923309326,3732.4937759840395,21.34714732528664,0,0,0
254.59565058900625,rx,rx-1789099564.730-22,10.536066055297852,False,82,3628.3721923828125,3607.048283010954,21.323909371858463,0,0,0
265.67125751200365,rx,rx-1789099576.803-23,9.503834962844849,False,82,3663.902759552002,3642.5415620033164,21.361197548685595,0,0,0
276.834522997,rx,rx-1789099587.875-24,9.535727262496948,False,83,3723.3245372772217,3706.0105049749836,17.314032302238047,0,0,0
288.91058771600365,rx,rx-1789099598.883-25,10.570687055587769,False,82,3756.4806938171387,3727.228103001835,29.252590815303847,0,0,0
299.83070214701,rx,rx-1789099610.957-26,9.535737037658691,False,82,3635.8776092529297,3606.478472996969,29.39913625596091,0,0,0
310.95325196301565,rx,rx-1789099622.030-27,9.50376582145691,False,82,3719.1171646118164,3689.2073710041586,29.909793607657775,0,0,0
